detailCategory,detailSource,partner,period,paymentId,txnType,speedFlag,processingMethod,payerFunding,payeeFunding,payerCcy,payeeCcy,payerCountry,payeeCountry,accountId,paymentType,submissionDate,creditCompleteDate,txnTypeRaw,payerName,payeeName,payerEmail,payeeEmail,usdAmount,customerRevenue,estRevenue,netRevenue,countPricing,isRTP,isFasterAch,initiatorStatus,typeDefn,revenueBasis
transaction,revenue_share,Magaya,2026-02,7026247,Domestic,Standard,Nacha,,,USD,USD,US,US,1545415,payment,2026-02-25,2026-02-26,Domestic,UCC DISTRIBUTING INC,Point Global Logistics,,,7403.95,0,259.14,0,0,false,false,,Business,gross
transaction,revenue_share,Magaya,2026-02,7003855,Domestic,Standard,Nacha,,,USD,USD,US,US,1545415,payment,2026-02-20,2026-02-24,Domestic,UCC DISTRIBUTING INC,Point Global Logistics,,,720.29,0,25.21,0,0,false,false,,Business,gross
transaction,revenue_share,Magaya,2026-02,6967154,Domestic,Standard,Card,,,USD,USD,US,US,1545415,payment,2026-02-13,2026-02-17,Domestic,UCC DISTRIBUTING INC,Point Global Logistics,,,2257.95,0,79.03,0,0,false,false,,Business,gross
transaction,revenue_share,Magaya,2026-02,6967150,Domestic,Standard,Nacha,,,USD,USD,US,US,1545415,payment,2026-02-13,2026-02-17,Domestic,UCC DISTRIBUTING INC,Point Global Logistics,,,5000,0,175,0,0,false,false,,Business,gross
transaction,revenue_share,Magaya,2026-02,6967146,Domestic,Standard,Card,,,USD,USD,US,US,1545415,payment,2026-02-12,2026-02-17,Domestic,UCC DISTRIBUTING INC,Point Global Logistics,,,5000,0,175,0,0,false,false,,Business,gross
transaction,revenue_share,Magaya,2026-02,6967148,Domestic,Standard,Card,,,USD,USD,US,US,1545415,payment,2026-02-12,2026-02-17,Domestic,UCC DISTRIBUTING INC,Point Global Logistics,,,5000,0,175,0,0,false,false,,Business,gross
transaction,revenue_share,Magaya,2026-02,6963707,Domestic,Standard,Nacha,,,USD,USD,US,US,1842542,payment,2026-02-12,2026-02-18,Domestic,April Interiors,"Austin Moving Forward, LLC",,,736.99,0,0,0,0,false,false,,Business,gross
transaction,revenue_share,Magaya,2026-02,6949848,Domestic,Standard,Card,,,USD,USD,US,US,1545415,payment,2026-02-10,2026-02-11,Domestic,UCC DISTRIBUTING INC,Point Global Logistics,,,5000,0,175,0,0,false,false,,Business,gross
transaction,revenue_share,Magaya,2026-02,6949841,Domestic,Standard,Nacha,,,USD,USD,US,US,1545415,payment,2026-02-10,2026-02-11,Domestic,UCC DISTRIBUTING INC,Point Global Logistics,,,5000,0,175,0,0,false,false,,Business,gross
transaction,revenue_share,Magaya,2026-02,6949849,Domestic,Standard,Card,,,USD,USD,US,US,1545415,payment,2026-02-10,2026-02-11,Domestic,UCC DISTRIBUTING INC,Point Global Logistics,,,5000,0,175,0,0,false,false,,Business,gross
transaction,revenue_share,Magaya,2026-02,6949905,Domestic,Standard,Nacha,,,USD,USD,US,US,1545415,payment,2026-02-10,2026-02-11,Domestic,UCC DISTRIBUTING INC,Point Global Logistics,,,2474.65,0,86.61,0,0,false,false,,Business,gross
transaction,revenue_share,Magaya,2026-02,6949845,Domestic,Standard,Nacha,,,USD,USD,US,US,1545415,payment,2026-02-10,2026-02-11,Domestic,UCC DISTRIBUTING INC,Point Global Logistics,,,5000,0,175,0,0,false,false,,Business,gross
transaction,revenue_share,Magaya,2026-02,6916604,Domestic,Standard,Nacha,,,USD,USD,US,US,1782448,payment,2026-02-03,2026-02-10,Domestic,Deefence,Point Global Logistics,,,28162.22,0,1,0,0,false,false,,Business,gross
transaction,revenue_share,Magaya,2026-02,6909146,Domestic,Standard,Nacha,,,USD,USD,US,US,1619183,payment,2026-02-02,2026-02-06,Domestic,"MP North America, LLC",Kanaisa Investments LLC,,,1262.93,0,1,0,0,false,false,,Business,gross
transaction,revenue_share,Magaya,2026-02,6897670,Domestic,Standard,Nacha,,,USD,USD,US,US,1582338,payment,2026-01-30,2026-02-05,Domestic,Happy Trees,Point Global Logistics,,,1960.29,0,0,0,0,false,false,,Business,gross
transaction,revenue_share,Magaya,2026-02,6898511,Domestic,Standard,Nacha,,,USD,USD,US,US,1619183,payment,2026-01-30,2026-02-05,Domestic,"MP North America, LLC",Kanaisa Investments LLC,,,3151.67,0,1,0,0,false,false,,Business,gross
