accountId,avgTxnSize,closedAccounts,creditCompleteDate,creditCompleteMonth,creditRail,customerRevenue,detailCategory,detailSource,dormantAccounts,estRevenue,fundingMethodUsed,id,initiatorStatus,isFasterAch,isRTP,maxAmt,minAmt,newAccountsOpened,newBusinessSetups,partner,partnerGroupSource,payeeAmount,payeeAmountCurrency,payeeBusinessName,payeeCcy,payeeCountry,payeeEmail,payeeFunding,payerBusinessName,payerCcy,payerCountry,payerEmail,payerFunding,paymentId,paymentType,paymentUsdEquivalentAmount,period,processingMethod,settlementCount,sourceSection,speedFlag,submissionDate,totalActiveAccounts,totalBusinessAccounts,totalIndividualAccounts,totalVolume,transactionProcessingMethodRaw,txnCount,txnType,txnTypeRaw,typeDefn,usdAmountDebited
1781972,,,2026-03-24T16:13:48,2026-03,,,transaction,offline_billing,,0.0,Bank,,,False,False,,,,,Maplewave,Maplewave,34106.98,USD,FABULOUS GROUP (XIAMEN) CO. LTD,USD,CN,fabulousgroup-USD@maplewave.bene,Bank,"Maplewave Payments, Inc.",USD,CA,support@maplewave.money,Wallet,7131180,payment,34106.98,2026-03,Wire,,detail,Standard,2026-03-18T00:00:00,,,,,Wire,,USD Abroad,USD Abroad,,34106.98
1781972,,,2026-03-23T21:17:01,2026-03,,,transaction,offline_billing,,0.0,Bank,,,False,False,,,,,Maplewave,Maplewave,26513.25,USD,SDM Inc. - Domestic USD,USD,US,sdmincusd@maplewave.bene,Bank,"Maplewave Payments, Inc.",USD,CA,support@maplewave.money,Wallet,7145978,payment,26513.25,2026-03,ACH,,detail,Standard,2026-03-20T00:00:00,,,,,Nacha,,Domestic,Domestic,,26513.25
1781972,,,2026-03-10T19:13:49,2026-03,,,transaction,offline_billing,,0.0,Bank,,,False,False,,,,,Maplewave,Maplewave,21652.5,EUR,SDM Inc.,EUR,MT,sdminceur@maplewave.bene,Bank,"Maplewave Payments, Inc.",EUR,CA,support@maplewave.money,Wallet,7082083,payment,25020.76,2026-03,Wire,,detail,Standard,2026-03-09T00:00:00,,,,,Wallet,,FX,FX,,25020.76
1781972,,,2026-03-19T15:24:13,2026-03,,,transaction,offline_billing,,38.25,Bank,,,False,False,,,,,Maplewave,Maplewave,3050000.0,JPY,SBT CO.  LTD.,JPY,JP,sbtcoltd-jpy@maplewave.bene,Bank,"Maplewave Payments, Inc.",USD,CA,support@maplewave.money,Wallet,7130902,payment,19123.5,2026-03,Wire,,detail,Standard,2026-03-18T00:00:00,,,,,Wallet,,FX,FX,,19123.5
1781972,,,2026-03-25T20:15:47,2026-03,,,transaction,offline_billing,,23.17,Bank,,,False,False,,,,,Maplewave,Maplewave,1841818.0,JPY,SBT CO.  LTD. - 3,JPY,JP,sbtcoltd3-jpy@maplewave.bene,Bank,"Maplewave Payments, Inc.",USD,CA,support@maplewave.money,Wallet,7166095,payment,11585.04,2026-03,Wire,,detail,Standard,2026-03-25T00:00:00,,,,,Wallet,,FX,FX,,11585.04
1781972,,,2026-03-13T19:14:06,2026-03,,,transaction,offline_billing,,0.0,Bank,,,False,False,,,,,Maplewave,Maplewave,20000.22,EUR,AZULEJO DECORADO Y EXPORTACION SL (ADEX S.L.),EUR,ES,azulejodecorado-EUR@maplewave.bene,Bank,"Maplewave Payments, Inc.",EUR,CA,support@maplewave.money,Wallet,7102455,payment,23092.45,2026-03,Wire,,detail,Standard,2026-03-12T00:00:00,,,,,Nacha,,FX,FX,,23092.45
1781972,,,2026-03-07T03:12:53,2026-03,,,transaction,offline_billing,,11.32,Bank,,,False,False,,,,,Maplewave,Maplewave,893000.0,JPY,BE FORWARD CO. LTD. - JPY,JPY,JP,beforwardcoltd@maplewave.bene,Bank,"Maplewave Payments, Inc.",USD,CA,support@maplewave.money,Wallet,7066524,payment,5661.62,2026-03,Wire,,detail,Standard,2026-03-05T00:00:00,,,,,Wire,,FX,FX,,5661.62
1781972,,,2026-03-31T11:17:14,2026-03,,,transaction,offline_billing,,735.59,Bank,,,False,False,,,,,Maplewave,Maplewave,58659500.0,JPY,Autocom Japan Inc. - Yen,JPY,JP,autocomjapaninc-yen@maplewave.bene,Bank,"Maplewave Payments, Inc.",USD,CA,support@maplewave.money,Wallet,7188271,payment,367795.07,2026-03,Wire,,detail,Standard,2026-03-30T00:00:00,,,,,Wallet,,FX,FX,,367795.07
1781972,,,2026-03-24T16:23:25,2026-03,,,transaction,offline_billing,,0.0,Bank,,,False,False,,,,,Maplewave,Maplewave,59731.2,USD,Nanjing Feeling Rubber & Plastic Produces Co. Ltd,USD,SG,nanjingfeelingrubberplastic-USD@maplewave.bene,Bank,"Maplewave Payments, Inc.",USD,CA,support@maplewave.money,Wallet,7145954,payment,59731.2,2026-03,Wire,,detail,Standard,2026-03-20T00:00:00,,,,,Wire,,USD Abroad,USD Abroad,,59731.2
1781972,,,2026-03-26T18:15:08,2026-03,,,transaction,offline_billing,,0.0,Bank,,,False,False,,,,,Maplewave,Maplewave,35000.0,USD,Fortluft Inc,USD,US,fortluftinc@maplewave.bene,Bank,"Maplewave Payments, Inc.",USD,CA,support@maplewave.money,Wallet,7166101,payment,35000.0,2026-03,ACH,,detail,Standard,2026-03-25T00:00:00,,,,,Wallet,,Domestic,Domestic,,35000.0
