detailCategory,detailSource,partner,period,paymentId,txnType,speedFlag,processingMethod,payerFunding,payeeFunding,payerCcy,payeeCcy,payerCountry,payeeCountry,accountId,paymentType,submissionDate,creditCompleteDate,creditCompleteMonth,payerEmail,payerBusinessName,payeeEmail,payeeBusinessName,creditRail,transactionProcessingMethodRaw,fundingMethodUsed,payeeAmountCurrency,payeeAmount,usdAmountDebited,paymentUsdEquivalentAmount,estRevenue,txnTypeRaw,isRTP,isFasterAch,partnerGroupSource,initiatorStatus,typeDefn
transaction,offline_billing,Maplewave,2026-05,7352163,FX,Standard,Wire,Wallet,Bank,USD,JPY,CA,JP,1781972,payment,2026-04-28,2026-05-01,2026-05,support@maplewave.money,"Maplewave Payments, Inc.",sbtcoltd11-jpy@maplewave.bene,SBT Co. Ltd. - 11,CITI,Wallet,Bank,JPY,2084000,13058.72,13045.84,0,FX,false,false,Maplewave,,
transaction,offline_billing,Maplewave,2026-05,7352160,FX,Standard,Wire,Wallet,Bank,USD,JPY,CA,JP,1781972,payment,2026-04-28,2026-05-01,2026-05,support@maplewave.money,"Maplewave Payments, Inc.",autocomjapaninc-yen@maplewave.bene,Autocom Japan Inc. - Yen,CITI,Wire,Bank,JPY,939000,5883.94,5878.14,0,FX,false,false,Maplewave,,
transaction,offline_billing,Maplewave,2026-05,7352152,FX,Standard,Wire,Wallet,Bank,USD,JPY,CA,JP,1781972,payment,2026-04-28,2026-05-01,2026-05,support@maplewave.money,"Maplewave Payments, Inc.",autocomjapaninc-yen@maplewave.bene,Autocom Japan Inc. - Yen,CITI,Wallet,Bank,JPY,566000,3546.66,3543.16,0,FX,false,false,Maplewave,,
transaction,offline_billing,Maplewave,2026-05,7344354,FX,Standard,Wire,Wallet,Bank,USD,JPY,CA,JP,1781972,payment,2026-04-27,2026-05-02,2026-05,support@maplewave.money,"Maplewave Payments, Inc.",sktrading-jpy@maplewave.bene,S.K Trading Co. Ltd,CITI,Wire,Bank,JPY,1130000,7086.99,7085.1,0,FX,false,false,Maplewave,,
transaction,offline_billing,Maplewave,2026-05,7352166,FX,Standard,Wire,Wallet,Bank,USD,JPY,CA,JP,1781972,payment,2026-04-28,2026-05-01,2026-05,support@maplewave.money,"Maplewave Payments, Inc.",autocomjapaninc-yen@maplewave.bene,Autocom Japan Inc. - Yen,CITI,Wallet,Bank,JPY,589000,3690.78,3687.14,0,FX,false,false,Maplewave,,
transaction,offline_billing,Maplewave,2026-05,7353473,USD Abroad,Standard,Wire,Wallet,Bank,USD,USD,CA,CN,1781972,payment,2026-04-28,2026-05-02,2026-05,support@maplewave.money,"Maplewave Payments, Inc.",cangzhouxingcheng-usd@maplewave.bene,CANGZHOU XINGCHENG IMP.&EXP. CO. LTD,CITI,Wallet,Bank,USD,5386.2,5386.2,5386.2,0,USD Abroad,false,false,Maplewave,,
transaction,offline_billing,Maplewave,2026-05,7352162,FX,Standard,Wire,Wallet,Bank,USD,JPY,CA,JP,1781972,payment,2026-04-28,2026-05-01,2026-05,support@maplewave.money,"Maplewave Payments, Inc.",autocomjapaninc-yen@maplewave.bene,Autocom Japan Inc. - Yen,CITI,Wire,Bank,JPY,359000,2249.56,2247.34,0,FX,false,false,Maplewave,,
transaction,offline_billing,Maplewave,2026-05,7366975,USD Abroad,Standard,Wire,Wallet,Bank,USD,USD,CA,PL,1781972,payment,2026-04-30,2026-05-01,2026-05,support@maplewave.money,"Maplewave Payments, Inc.",polcarpph-usd@maplewave.bene,POLCAR P.P.H.,CITI,Wire,Bank,USD,30100.42,30100.42,30100.42,0,USD Abroad,false,false,Maplewave,,
transaction,offline_billing,Maplewave,2026-05,7352164,FX,Standard,Wire,Wallet,Bank,USD,JPY,CA,JP,1781972,payment,2026-04-28,2026-05-01,2026-05,support@maplewave.money,"Maplewave Payments, Inc.",autocomjapaninc-yen@maplewave.bene,Autocom Japan Inc. - Yen,CITI,Wallet,Bank,JPY,417000,2613,2610.42,0,FX,false,false,Maplewave,,
transaction,offline_billing,Maplewave,2026-05,7352150,FX,Standard,Wire,Wallet,Bank,USD,JPY,CA,JP,1781972,payment,2026-04-28,2026-05-01,2026-05,support@maplewave.money,"Maplewave Payments, Inc.",autocomjapaninc-yen@maplewave.bene,Autocom Japan Inc. - Yen,CITI,Wire,Bank,JPY,1218500,7635.34,7627.81,0,FX,false,false,Maplewave,,
